timestamp_utc,severity,category,description,source
2021-10-09 15:06:09,INFO,Process,start: pid 101 [scsi_tmf_3] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 102 [storvsc_error_w] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 103 [storvsc_error_w] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 104 [storvsc_error_w] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 105 [storvsc_error_w] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 106 [scsi_eh_4] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 107 [scsi_tmf_4] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 109 [scsi_eh_5] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 110 [scsi_tmf_5] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 114 [vfio-irqfd-clea] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 116 [kworker/0:1H-kb] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 117 [ipv6_addrconf] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 126 [kstrp] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:09,INFO,Process,start: pid 129 [kworker/u3:0] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:10,INFO,Process,start: pid 202 [cryptd] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:12,INFO,Process,start: pid 310 [raid5wq] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:12,INFO,Process,start: pid 361 [jbd2/sdb1-8] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:12,INFO,Process,start: pid 362 [ext4-rsv-conver] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:14,INFO,Process,start: pid 438 [iscsi_eh] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:14,INFO,Process,start: pid 447 /sbin/lvmetad -f (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:14,INFO,Process,start: pid 448 [ib-comp-wq] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:14,INFO,Process,start: pid 449 [ib-comp-unb-wq] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:14,INFO,Process,start: pid 451 [ib_mcast] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:14,INFO,Process,start: pid 453 [ib_nl_sa_wq] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:14,INFO,Process,start: pid 455 [rdma_cm] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:14,INFO,Process,start: pid 457 /lib/systemd/systemd-udevd (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:15,INFO,Process,start: pid 477 [hv_balloon] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:17,HIGH,Process,start: pid 609 bpfilter_umh (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:17,INFO,Process,start: pid 702 /lib/systemd/systemd-timesyncd (systemd+),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:21,INFO,Process,start: pid 859 /lib/systemd/systemd-networkd (systemd+),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:21,INFO,Process,start: pid 870 /lib/systemd/systemd-resolved (systemd+),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:25,INFO,Process,start: pid 993 [jbd2/sda1-8] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:25,INFO,Process,start: pid 994 [ext4-rsv-conver] (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:25,INFO,Process,start: pid 1003 /usr/sbin/atd -f (daemon),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:25,INFO,Process,start: pid 1014 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activat... (message+),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:25,INFO,Process,start: pid 1029 /usr/sbin/cron -f (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:25,INFO,Process,start: pid 1046 /usr/bin/lxcfs /var/lib/lxcfs/ (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:25,INFO,Process,start: pid 1065 /usr/lib/accountsservice/accounts-daemon (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:25,INFO,Process,"start: pid 1084 /sbin/agetty -o -p -- \u --keep-baud 115200,38400,9600 ttyS0 vt220 (root)",live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:25,INFO,Process,start: pid 1103 /sbin/agetty -o -p -- \u --noclear tty1 linux (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:26,INFO,Process,start: pid 1106 /usr/sbin/sshd -D (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:06:26,INFO,Process,start: pid 1124 /usr/lib/policykit-1/polkitd --no-debug (root),live_response/process/running_processes_full_paths.txt
2021-10-09 15:07:16,INFO,Process,start: pid 2447 [audit_prune_tre] (root),live_response/process/running_processes_full_paths.txt
2021-10-10 17:02:44,INFO,Process,start: pid 602 /lib/systemd/systemd --user (azureus+),live_response/process/running_processes_full_paths.txt
2021-10-10 17:02:44,INFO,Process,start: pid 603 (sd-pam) (azureus+),live_response/process/running_processes_full_paths.txt
2021-10-10 17:03:59,INFO,Process,start: pid 801 /usr/sbin/httpd -k start (root),live_response/process/running_processes_full_paths.txt
2021-10-13 06:46:48,INFO,Process,start: pid 12395 [xfsalloc] (root),live_response/process/running_processes_full_paths.txt
2021-10-13 06:46:48,INFO,Process,start: pid 12403 [xfs_mru_cache] (root),live_response/process/running_processes_full_paths.txt
2021-10-13 06:46:48,INFO,Process,start: pid 12408 [jfsIO] (root),live_response/process/running_processes_full_paths.txt
2021-10-13 06:46:48,INFO,Process,start: pid 12409 [jfsCommit] (root),live_response/process/running_processes_full_paths.txt
2021-10-13 06:46:48,INFO,Process,start: pid 12410 [jfsSync] (root),live_response/process/running_processes_full_paths.txt
2021-11-01 06:36:43,MEDIUM,Authentication,failed authentication from 198.18.5.64,failed login records
2021-11-01 06:37:17,MEDIUM,Authentication,failed authentication from 198.18.5.64,failed login records
2021-11-01 06:37:50,MEDIUM,Authentication,failed authentication from 198.18.5.64,failed login records
2021-11-01 06:38:24,MEDIUM,Authentication,failed authentication from 198.18.5.64,failed login records
2021-11-01 06:38:58,MEDIUM,Authentication,failed authentication from 198.18.5.64,failed login records
2021-11-01 06:39:31,MEDIUM,Authentication,failed authentication from 198.18.5.64,failed login records
2021-11-01 06:40:06,MEDIUM,Authentication,failed authentication from 198.18.5.64,failed login records
2021-11-01 06:40:40,MEDIUM,Authentication,failed authentication from 198.18.5.64,failed login records
2021-11-01 06:41:15,MEDIUM,Authentication,failed authentication from 198.18.5.64,failed login records
2021-11-01 07:00:20,MEDIUM,Authentication,failed authentication from 198.18.2.88,failed login records
2021-11-01 07:01:00,MEDIUM,Authentication,failed authentication from 198.18.2.88,failed login records
2021-11-01 07:01:40,MEDIUM,Authentication,failed authentication from 198.18.2.88,failed login records
