timestamp_utc,kind,user,source_host,source_ip,port,terminal,service,method,detail,logged_by,source
2021-12-02 21:19:24,failed login,system,198.18.0.8,198.18.0.8,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 21:44:31,failed login,RPM,198.18.0.3,198.18.0.3,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 21:46:07,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 21:46:58,failed login,user,198.18.0.75,198.18.0.75,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 21:47:06,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 21:48:05,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 21:49:03,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 21:50:00,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 21:50:56,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 21:51:54,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 21:52:51,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 21:53:49,failed login,user,198.18.3.147,198.18.3.147,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 21:56:28,failed login,user,198.18.0.95,198.18.0.95,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 23:02:00,failed login,hacluster,198.18.0.5,198.18.0.5,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 23:24:39,failed login,ansible,198.18.0.14,198.18.0.14,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 23:24:46,failed login,ansible,198.18.0.14,198.18.0.14,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 23:25:15,failed login,butter,198.18.0.14,198.18.0.14,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 23:25:22,failed login,postgres,198.18.0.14,198.18.0.14,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 23:25:30,failed login,dev,198.18.0.14,198.18.0.14,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 23:25:36,failed login,user,198.18.0.14,198.18.0.14,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 23:25:43,failed login,git,198.18.0.14,198.18.0.14,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 23:25:51,failed login,test,198.18.0.14,198.18.0.14,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 23:25:59,failed login,ubuntu,198.18.0.14,198.18.0.14,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
2021-12-02 23:26:06,failed login,system,198.18.0.14,198.18.0.14,,ssh:notty,,,LOGIN_PROCESS,btmp,/var/log/btmp
